mode,domain,size,totalReviews,totalErrors,totalVague,errorRate,vfCount,vfPercent,urCount,urPercent,wrongSpecCount,wrongClaimCount,fs,runCount
cera-full,laptop,100,154,15,15,0.0974,141,0.9156,0,0.0,15,0,0.7997,5
cera-full,laptop,500,755,228,42,0.302,723,0.9576,0,0.0,124,148,0.678,5
cera-full,laptop,1000,1416,140,99,0.0989,1327,0.9371,0,0.0,140,1,0.8323,5
cera-no-sil,laptop,100,141,23,43,0.1631,109,0.773,5,0.0355,11,12,0.5077,5
cera-no-sil,laptop,500,732,60,70,0.082,600,0.8197,68,0.0929,57,8,0.6413,5
cera-no-sil,laptop,1000,1455,108,231,0.0742,1154,0.7931,106,0.0729,84,12,0.6113,5
cera-sav,laptop,100,154,48,18,0.3117,134,0.8701,2,0.013,23,34,0.5272,5
cera-sav,laptop,500,739,149,105,0.2016,653,0.8836,0,0.0,149,0,0.6957,5
cera-sav,laptop,1000,1411,377,81,0.2672,1333,0.9447,0,0.0,376,2,0.7663,5
heuristic,laptop,100,104,57,0,0.5481,104,1.0,0,0.0,29,42,0.524,5
heuristic,laptop,500,518,321,0,0.6197,518,1.0,0,0.0,78,151,0.6332,5
heuristic,laptop,1000,1051,590,0,0.5614,1047,0.9962,4,0.0038,304,415,0.5161,5
